2026-04-06T12:22:10 | INFO     | CAM-C5               | Sensor iniciado | intersección=INT-C5 | intervalo=5s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | CAM-C5               | [Publicado] vol= 14 veh | vel= 29.2 km/h | semáforo=ROJO
2026-04-06T12:40:06 | INFO     | CAM-C5               | [Publicado] vol= 17 veh | vel= 23.4 km/h | semáforo=ROJO
2026-04-06T12:40:11 | INFO     | CAM-C5               | [Publicado] vol= 15 veh | vel= 24.5 km/h | semáforo=ROJO
2026-04-06T12:40:16 | INFO     | CAM-C5               | [Publicado] vol=  1 veh | vel= 50.9 km/h | semáforo=ROJO
2026-04-06T12:40:21 | INFO     | CAM-C5               | [Publicado] vol=  1 veh | vel= 47.2 km/h | semáforo=ROJO
2026-04-06T12:40:26 | INFO     | CAM-C5               | [Publicado] vol=  8 veh | vel= 35.4 km/h | semáforo=ROJO
2026-04-06T12:40:31 | INFO     | CAM-C5               | [Publicado] vol= 12 veh | vel= 33.2 km/h | semáforo=ROJO
2026-04-06T12:40:36 | INFO     | CAM-C5               | [Publicado] vol=  8 veh | vel= 39.3 km/h | semáforo=VERDE
2026-04-06T12:40:41 | INFO     | CAM-C5               | [Publicado] vol=  2 veh | vel= 45.6 km/h | semáforo=VERDE
2026-04-06T12:40:46 | INFO     | CAM-C5               | [Publicado] vol=  6 veh | vel= 25.7 km/h | semáforo=VERDE
2026-04-06T12:40:51 | INFO     | CAM-C5               | [Publicado] vol=  0 veh | vel= 44.4 km/h | semáforo=VERDE
2026-04-06T12:40:56 | INFO     | CAM-C5               | [Publicado] vol=  0 veh | vel= 36.2 km/h | semáforo=VERDE
2026-04-06T12:41:01 | INFO     | CAM-C5               | [Publicado] vol=  1 veh | vel= 43.6 km/h | semáforo=VERDE
2026-04-06T12:41:06 | INFO     | CAM-C5               | [Publicado] vol= 21 veh | vel= 21.0 km/h | semáforo=ROJO
2026-04-06T12:41:11 | INFO     | CAM-C5               | [Publicado] vol=  5 veh | vel= 41.7 km/h | semáforo=ROJO
2026-04-06T12:41:16 | INFO     | CAM-C5               | [Publicado] vol= 23 veh | vel= 14.3 km/h | semáforo=ROJO
2026-04-06T12:41:21 | INFO     | CAM-C5               | [Publicado] vol= 22 veh | vel= 19.5 km/h | semáforo=ROJO
2026-04-06T12:41:26 | INFO     | CAM-C5               | [Publicado] vol= 18 veh | vel= 24.7 km/h | semáforo=ROJO
2026-04-06T12:41:31 | INFO     | CAM-C5               | [Publicado] vol=  8 veh | vel= 35.5 km/h | semáforo=ROJO
2026-04-06T12:41:36 | INFO     | CAM-C5               | [Publicado] vol=  1 veh | vel= 32.9 km/h | semáforo=VERDE
