2026-04-06T12:22:10 | INFO     | CAM-C4               | Sensor iniciado | intersección=INT-C4 | intervalo=5s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | CAM-C4               | [Publicado] vol=  1 veh | vel= 45.5 km/h | semáforo=ROJO
2026-04-06T12:40:06 | INFO     | CAM-C4               | [Publicado] vol=  0 veh | vel= 48.3 km/h | semáforo=ROJO
2026-04-06T12:40:11 | INFO     | CAM-C4               | [Publicado] vol= 20 veh | vel= 19.4 km/h | semáforo=ROJO
2026-04-06T12:40:16 | INFO     | CAM-C4               | [Publicado] vol= 25 veh | vel= 15.2 km/h | semáforo=ROJO
2026-04-06T12:40:21 | INFO     | CAM-C4               | [Publicado] vol=  2 veh | vel= 48.3 km/h | semáforo=ROJO
2026-04-06T12:40:26 | INFO     | CAM-C4               | [Publicado] vol=  3 veh | vel= 43.0 km/h | semáforo=ROJO
2026-04-06T12:40:31 | INFO     | CAM-C4               | [Publicado] vol= 21 veh | vel= 16.4 km/h | semáforo=ROJO
2026-04-06T12:40:36 | INFO     | CAM-C4               | [Publicado] vol=  8 veh | vel= 29.8 km/h | semáforo=VERDE
2026-04-06T12:40:41 | INFO     | CAM-C4               | [Publicado] vol=  8 veh | vel= 35.2 km/h | semáforo=VERDE
2026-04-06T12:40:46 | INFO     | CAM-C4               | [Publicado] vol=  4 veh | vel= 44.9 km/h | semáforo=VERDE
2026-04-06T12:40:51 | INFO     | CAM-C4               | [Publicado] vol=  4 veh | vel= 36.4 km/h | semáforo=VERDE
2026-04-06T12:40:56 | INFO     | CAM-C4               | [Publicado] vol=  2 veh | vel= 35.6 km/h | semáforo=VERDE
2026-04-06T12:41:01 | INFO     | CAM-C4               | [Publicado] vol=  7 veh | vel= 45.0 km/h | semáforo=VERDE
2026-04-06T12:41:06 | INFO     | CAM-C4               | [Publicado] vol= 11 veh | vel= 35.8 km/h | semáforo=ROJO
2026-04-06T12:41:11 | INFO     | CAM-C4               | [Publicado] vol=  8 veh | vel= 39.6 km/h | semáforo=ROJO
2026-04-06T12:41:16 | INFO     | CAM-C4               | [Publicado] vol= 10 veh | vel= 33.4 km/h | semáforo=ROJO
2026-04-06T12:41:21 | INFO     | CAM-C4               | [Publicado] vol=  1 veh | vel= 49.0 km/h | semáforo=ROJO
2026-04-06T12:41:26 | INFO     | CAM-C4               | [Publicado] vol=  7 veh | vel= 40.9 km/h | semáforo=ROJO
2026-04-06T12:41:31 | INFO     | CAM-C4               | [Publicado] vol=  3 veh | vel= 45.0 km/h | semáforo=ROJO
2026-04-06T12:41:36 | INFO     | CAM-C4               | [Publicado] vol=  6 veh | vel= 47.8 km/h | semáforo=VERDE
