2026-04-06T12:22:10 | INFO     | CAM-B5               | Sensor iniciado | intersección=INT-B5 | intervalo=5s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | CAM-B5               | [Publicado] vol=  4 veh | vel= 41.1 km/h | semáforo=ROJO
2026-04-06T12:40:06 | INFO     | CAM-B5               | [Publicado] vol= 17 veh | vel= 25.6 km/h | semáforo=ROJO
2026-04-06T12:40:11 | INFO     | CAM-B5               | [Publicado] vol= 10 veh | vel= 32.5 km/h | semáforo=ROJO
2026-04-06T12:40:16 | INFO     | CAM-B5               | [Publicado] vol= 16 veh | vel= 23.8 km/h | semáforo=ROJO
2026-04-06T12:40:21 | INFO     | CAM-B5               | [Publicado] vol=  0 veh | vel= 52.5 km/h | semáforo=ROJO
2026-04-06T12:40:26 | INFO     | CAM-B5               | [Publicado] vol= 10 veh | vel= 35.4 km/h | semáforo=ROJO
2026-04-06T12:40:31 | INFO     | CAM-B5               | [Publicado] vol=  1 veh | vel= 51.3 km/h | semáforo=ROJO
2026-04-06T12:40:36 | INFO     | CAM-B5               | [Publicado] vol=  3 veh | vel= 47.6 km/h | semáforo=VERDE
2026-04-06T12:40:41 | INFO     | CAM-B5               | [Publicado] vol=  0 veh | vel= 25.7 km/h | semáforo=VERDE
2026-04-06T12:40:46 | INFO     | CAM-B5               | [Publicado] vol=  2 veh | vel= 34.4 km/h | semáforo=VERDE
2026-04-06T12:40:51 | INFO     | CAM-B5               | [Publicado] vol=  6 veh | vel= 46.0 km/h | semáforo=VERDE
2026-04-06T12:40:56 | INFO     | CAM-B5               | [Publicado] vol=  6 veh | vel= 39.2 km/h | semáforo=VERDE
2026-04-06T12:41:01 | INFO     | CAM-B5               | [Publicado] vol=  0 veh | vel= 44.8 km/h | semáforo=VERDE
2026-04-06T12:41:06 | INFO     | CAM-B5               | [Publicado] vol= 10 veh | vel= 33.3 km/h | semáforo=ROJO
2026-04-06T12:41:11 | INFO     | CAM-B5               | [Publicado] vol=  9 veh | vel= 35.9 km/h | semáforo=ROJO
2026-04-06T12:41:16 | INFO     | CAM-B5               | [Publicado] vol=  2 veh | vel= 49.0 km/h | semáforo=ROJO
2026-04-06T12:41:21 | INFO     | CAM-B5               | [Publicado] vol=  4 veh | vel= 45.1 km/h | semáforo=ROJO
2026-04-06T12:41:26 | INFO     | CAM-B5               | [Publicado] vol= 14 veh | vel= 30.6 km/h | semáforo=ROJO
2026-04-06T12:41:31 | INFO     | CAM-B5               | [Publicado] vol= 20 veh | vel= 18.4 km/h | semáforo=ROJO
2026-04-06T12:41:36 | INFO     | CAM-B5               | [Publicado] vol=  8 veh | vel= 36.8 km/h | semáforo=VERDE
