2026-04-06T12:22:10 | INFO     | CAM-B1               | Sensor iniciado | intersección=INT-B1 | intervalo=5s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | CAM-B1               | [Publicado] vol= 12 veh | vel= 34.8 km/h | semáforo=ROJO
2026-04-06T12:40:06 | INFO     | CAM-B1               | [Publicado] vol= 10 veh | vel= 33.0 km/h | semáforo=ROJO
2026-04-06T12:40:11 | INFO     | CAM-B1               | [Publicado] vol=  5 veh | vel= 40.9 km/h | semáforo=ROJO
2026-04-06T12:40:16 | INFO     | CAM-B1               | [Publicado] vol=  5 veh | vel= 44.2 km/h | semáforo=ROJO
2026-04-06T12:40:21 | INFO     | CAM-B1               | [Publicado] vol= 25 veh | vel= 11.5 km/h | semáforo=ROJO
2026-04-06T12:40:26 | INFO     | CAM-B1               | [Publicado] vol= 24 veh | vel= 12.2 km/h | semáforo=ROJO
2026-04-06T12:40:31 | INFO     | CAM-B1               | [Publicado] vol=  4 veh | vel= 41.9 km/h | semáforo=ROJO
2026-04-06T12:40:36 | INFO     | CAM-B1               | [Publicado] vol=  4 veh | vel= 34.5 km/h | semáforo=VERDE
2026-04-06T12:40:41 | INFO     | CAM-B1               | [Publicado] vol=  5 veh | vel= 29.9 km/h | semáforo=VERDE
2026-04-06T12:40:46 | INFO     | CAM-B1               | [Publicado] vol=  4 veh | vel= 42.1 km/h | semáforo=VERDE
2026-04-06T12:40:51 | INFO     | CAM-B1               | [Publicado] vol=  2 veh | vel= 41.1 km/h | semáforo=VERDE
2026-04-06T12:40:56 | INFO     | CAM-B1               | [Publicado] vol=  5 veh | vel= 34.7 km/h | semáforo=VERDE
2026-04-06T12:41:01 | INFO     | CAM-B1               | [Publicado] vol=  7 veh | vel= 41.9 km/h | semáforo=VERDE
2026-04-06T12:41:06 | INFO     | CAM-B1               | [Publicado] vol= 23 veh | vel= 17.7 km/h | semáforo=ROJO
2026-04-06T12:41:11 | INFO     | CAM-B1               | [Publicado] vol=  2 veh | vel= 47.0 km/h | semáforo=ROJO
2026-04-06T12:41:16 | INFO     | CAM-B1               | [Publicado] vol= 10 veh | vel= 32.0 km/h | semáforo=ROJO
2026-04-06T12:41:21 | INFO     | CAM-B1               | [Publicado] vol=  4 veh | vel= 46.1 km/h | semáforo=ROJO
2026-04-06T12:41:26 | INFO     | CAM-B1               | [Publicado] vol=  2 veh | vel= 48.4 km/h | semáforo=ROJO
2026-04-06T12:41:31 | INFO     | CAM-B1               | [Publicado] vol= 16 veh | vel= 28.5 km/h | semáforo=ROJO
2026-04-06T12:41:36 | INFO     | CAM-B1               | [Publicado] vol=  6 veh | vel= 47.3 km/h | semáforo=VERDE
